,Id,Label,timeset,modularity_class,labeldiff,kingdom,phylum,class,order,family,genus,species,name,abun
527,Zotu630,Zotu630,NA,1,diff,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,0319-6G20,0319-6G20,marine_metagenome,Zotu630,0.000124
528,Zotu631,Zotu631,NA,1,diff,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methylomonas,uncultured_bacterium,Zotu631,0.000192
529,Zotu633,Zotu633,NA,13,other,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,uncultured,NA,Zotu633,0.000352
530,Zotu636,Zotu636,NA,6,other,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_9,uncultured_bacterium,Zotu636,0.00042
531,Zotu639,Zotu639,NA,1,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,NA,NA,Zotu639,0.000285
532,Zotu640,Zotu640,NA,6,other,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_12,Clostridium_magnum,Zotu640,0.000404
533,Zotu643,Zotu643,NA,8,other,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,ADurb.Bin063-1,NA,Zotu643,0.000633
534,Zotu645,Zotu645,NA,0,other,Bacteria,NA,NA,NA,NA,NA,NA,Zotu645,0.000288
535,Zotu647,Zotu647,NA,0,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sulfuricellaceae,Sulfuricella,uncultured_bacterium,Zotu647,0.000348
536,Zotu648,Zotu648,NA,8,diff,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prolixibacteraceae,WCHB1-32,NA,Zotu648,0.000367
537,Zotu649,Zotu649,NA,0,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA,Zotu649,0.000369
538,Zotu652,Zotu652,NA,1,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,NA,NA,Zotu652,0.000373
539,Zotu653,Zotu653,NA,0,other,Bacteria,Verrucomicrobiota,Verrucomicrobiae,LD1-PB3,LD1-PB3,LD1-PB3,uncultured_soil,Zotu653,0.000321
540,Zotu654,Zotu654,NA,13,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SC-I-84,SC-I-84,NA,Zotu654,0.000287
541,Zotu1341,Zotu1341,NA,13,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SC-I-84,SC-I-84,NA,Zotu1341,0.000142
542,Zotu655,Zotu655,NA,13,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SC-I-84,SC-I-84,NA,Zotu655,0.00034
543,Zotu659,Zotu659,NA,0,other,Bacteria,Acidobacteriota,Subgroup_21,Subgroup_21,Subgroup_21,Subgroup_21,uncultured_bacterium,Zotu659,0.000287
544,Zotu66,Zotu66,NA,29,other,Bacteria,MBNT15,MBNT15,MBNT15,MBNT15,MBNT15,NA,Zotu66,0.003665
545,Zotu205,Zotu205,NA,29,other,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,NA,Zotu205,0.001238
546,Zotu379,Zotu379,NA,29,other,Bacteria,MBNT15,MBNT15,MBNT15,MBNT15,MBNT15,NA,Zotu379,0.000672
547,Zotu663,Zotu663,NA,13,other,Bacteria,Actinobacteriota,MB-A2-108,MB-A2-108,MB-A2-108,MB-A2-108,NA,Zotu663,0.000244
548,Zotu665,Zotu665,NA,0,other,Bacteria,Nitrospirota,Thermodesulfovibrionia,uncultured,uncultured,uncultured,uncultured_bacterium,Zotu665,0.000368
549,Zotu67,Zotu67,NA,29,other,Bacteria,MBNT15,MBNT15,MBNT15,MBNT15,MBNT15,uncultured_delta,Zotu67,0.003318
550,Zotu671,Zotu671,NA,0,other,Bacteria,Latescibacterota,Latescibacterota,Latescibacterota,Latescibacterota,Latescibacterota,uncultured_bacterium,Zotu671,0.000302
551,Zotu672,Zotu672,NA,0,other,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,uncultured,NA,Zotu672,0.000311
552,Zotu675,Zotu675,NA,0,other,Bacteria,Sva0485,Sva0485,Sva0485,Sva0485,Sva0485,uncultured_soil,Zotu675,0.000323
553,Zotu6752,Zotu6752,NA,30,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,NA,NA,Zotu6752,0.000195
554,Zotu2839,Zotu2839,NA,30,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,NA,NA,Zotu2839,0.000165
555,Zotu677,Zotu677,NA,29,other,Bacteria,Nitrospirota,Thermodesulfovibrionia,uncultured,uncultured,uncultured,uncultured_bacterium,Zotu677,0.000333
556,Zotu679,Zotu679,NA,1,other,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidetes_BD2-2,Bacteroidetes_BD2-2,uncultured_prokaryote,Zotu679,0.000251
557,Zotu68,Zotu68,NA,31,other,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,NA,NA,NA,Zotu68,0.000818
558,Zotu100,Zotu100,NA,31,other,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,NA,NA,NA,Zotu100,0.000562
559,Zotu689,Zotu689,NA,0,other,Bacteria,Sva0485,Sva0485,Sva0485,Sva0485,Sva0485,NA,Zotu689,0.00031
560,Zotu69,Zotu69,NA,32,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,MM2,uncultured_bacterium,Zotu69,0.002838
561,Zotu372,Zotu372,NA,32,other,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylococcus,uncultured_bacterium,Zotu372,0.000648
562,Zotu693,Zotu693,NA,5,other,Bacteria,Proteobacteria,Gammaproteobacteria,PLTA13,PLTA13,PLTA13,uncultured_gamma,Zotu693,0.000339
563,Zotu694,Zotu694,NA,8,other,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,SB-5,SB-5,uncultured_bacterium,Zotu694,0.00029
564,Zotu695,Zotu695,NA,2,diff,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methylomonas,uncultured_bacterium,Zotu695,0.000217
565,Zotu699,Zotu699,NA,1,other,Bacteria,Desulfobacterota,Desulfuromonadia,Geobacterales,Geobacteraceae,NA,NA,Zotu699,0.000461
566,Zotu7,Zotu7,NA,11,diff,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,uncultured,uncultured_bacterium,Zotu7,0.007544
567,Zotu504,Zotu504,NA,11,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Sulfuritalea,uncultured_bacterium,Zotu504,0.000374
568,Zotu70,Zotu70,NA,1,diff,Bacteria,Nitrospirota,4-29-1,4-29-1,4-29-1,4-29-1,uncultured_bacterium,Zotu70,0.001106
569,Zotu700,Zotu700,NA,1,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,NA,NA,Zotu700,0.000464
570,Zotu701,Zotu701,NA,13,other,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylocystis,NA,Zotu701,0.000254
571,Zotu702,Zotu702,NA,1,other,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfobulbaceae,uncultured,uncultured_bacterium,Zotu702,0.000423
572,Zotu703,Zotu703,NA,13,other,Bacteria,Actinobacteriota,Coriobacteriia,OPB41,OPB41,OPB41,NA,Zotu703,0.000252
573,Zotu706,Zotu706,NA,13,other,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Agromyces,NA,Zotu706,0.000109
