Id,Label,timeset,label3,kingdom,phylum,class,order,family,genus,species,name,abun,indegree,outdegree,degree
Zotu1057,Zotu1057,,other,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio_idahonensis,Zotu1057,0.000113,3,0,3
Zotu2230,Zotu2230,,other,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidetes_vadinHA17,Bacteroidetes_vadinHA17,NA,Zotu2230,0.000373,10,6,16
Zotu2231,Zotu2231,,other,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,NA,Zotu2231,0.000183,8,2,10
Zotu2235,Zotu2235,,other,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prolixibacteraceae,Roseimarinus,uncultured_bacterium,Zotu2235,0.000126,67,58,125
Zotu225,Zotu225,,other,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfosarcinaceae,Sva0081_sediment_group,uncultured_bacterium,Zotu225,0.001561,13,8,21
Zotu2255,Zotu2255,,other,Bacteria,Desulfobacterota,Syntrophia,Syntrophales,Smithellaceae,Smithella,uncultured_bacterium,Zotu2255,0.00011,3,1,4
Zotu2263,Zotu2263,,other,Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,Chlamydiaceae,NA,NA,Zotu2263,0.000111,15,16,31
Zotu227,Zotu227,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA,Zotu227,0.000449,1,1,2
Zotu228,Zotu228,,other,Bacteria,Nitrospirota,4-29-1,4-29-1,4-29-1,4-29-1,uncultured_proteobacterium,Zotu228,0.001128,17,9,26
Zotu1718,Zotu1718,,other,Bacteria,TA06,TA06,TA06,TA06,TA06,uncultured_bacterium,Zotu1718,0.000114,1,0,1
Zotu229,Zotu229,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,uncultured_bacterium,Zotu229,0.001142,38,34,72
Zotu230,Zotu230,,other,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Paludibacteraceae,uncultured,NA,Zotu230,0.000339,77,52,129
Zotu2304,Zotu2304,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Gallionellaceae,NA,NA,Zotu2304,0.000122,0,1,1
Zotu2133,Zotu2133,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Gallionellaceae,uncultured,uncultured_beta,Zotu2133,0.00025,2,0,2
Zotu231,Zotu231,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Ideonella,uncultured_bacterium,Zotu231,0.000917,59,40,99
Zotu2316,Zotu2316,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,GOUTA6,NA,Zotu2316,0.000115,15,12,27
Zotu233,Zotu233,,other,Bacteria,Bacteroidota,Kryptonia,Kryptoniales,BSV26,BSV26,NA,Zotu233,0.001232,0,1,1
Zotu2335,Zotu2335,,other,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prolixibacteraceae,WCHB1-32,NA,Zotu2335,0.000101,37,42,79
