Id,Label,timeset,label3,kingdom,phylum,class,order,family,genus,species,name,abun,indegree,outdegree,degree
Zotu10300,Zotu10300,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,NA,NA,NA,Zotu10300,0.000256,37,0,37
Zotu1052,Zotu1052,,other,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales_Incertae_Sedis,Phreatobacter,uncultured_bacterium,Zotu1052,0.00028,17,1,18
Zotu1026,Zotu1026,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA,Zotu1026,0.000203,10,0,10
Zotu1063,Zotu1063,,other,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,uncultured,uncultured_bacterium,Zotu1063,0.000184,5,1,6
Zotu1064,Zotu1064,,other,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,SB-5,SB-5,uncultured_soil,Zotu1064,0.000135,55,2,57
Zotu1092,Zotu1092,,other,Bacteria,FCPU426,FCPU426,FCPU426,FCPU426,FCPU426,metagenome,Zotu1092,0.000189,13,1,14
Zotu11141,Zotu11141,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,NA,NA,Zotu11141,0.000249,23,2,25
Zotu113,Zotu113,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SC-I-84,SC-I-84,NA,Zotu113,0.000227,46,1,47
Zotu114,Zotu114,,other,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,uncultured,NA,Zotu114,0.000103,28,5,33
Zotu109,Zotu109,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,uncultured,NA,Zotu109,0.000282,30,0,30
Zotu1114,Zotu1114,,other,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prolixibacteraceae,Roseimarinus,uncultured_bacterium,Zotu1114,0.000224,52,0,52
Zotu1142,Zotu1142,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,NA,NA,Zotu1142,0.000128,50,2,52
Zotu105,Zotu105,,other,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,NA,Zotu105,0.000111,16,0,16
Zotu1147,Zotu1147,,other,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,SB-5,SB-5,uncultured_soil,Zotu1147,0.000247,21,1,22
Zotu1167,Zotu1167,,other,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,NA,Zotu1167,0.000144,73,6,79
