Id,Label,timeset,label3,kingdom,phylum,class,order,family,genus,species,name,abun,indegree,outdegree,degree
Zotu652,Zotu652,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,NA,NA,Zotu652,0.000549,35,135,170
Zotu653,Zotu653,,other,Bacteria,Verrucomicrobiota,Verrucomicrobiae,LD1-PB3,LD1-PB3,LD1-PB3,uncultured_soil,Zotu653,0.000294,33,93,126
Zotu654,Zotu654,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SC-I-84,SC-I-84,NA,Zotu654,0.000354,12,28,40
Zotu655,Zotu655,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SC-I-84,SC-I-84,NA,Zotu655,0.000312,17,94,111
Zotu657,Zotu657,,other,Bacteria,Desulfobacterota,Syntrophobacteria,Syntrophobacterales,Syntrophobacteraceae,Syntrophobacter,NA,Zotu657,0.000749,10,34,44
Zotu658,Zotu658,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Gallionellaceae,NA,NA,Zotu658,0.001618,14,53,67
Zotu659,Zotu659,,other,Bacteria,Acidobacteriota,Subgroup_21,Subgroup_21,Subgroup_21,Subgroup_21,uncultured_bacterium,Zotu659,0.00028,14,35,49
Zotu66,Zotu66,,other,Bacteria,MBNT15,MBNT15,MBNT15,MBNT15,MBNT15,NA,Zotu66,0.003183,6,7,13
Zotu660,Zotu660,,other,Bacteria,Acidobacteriota,Holophagae,Subgroup_7,Subgroup_7,Subgroup_7,Acidobacteria_bacterium,Zotu660,0.000256,2,15,17
Zotu662,Zotu662,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Candidatus_Methylospira,uncultured_bacterium,Zotu662,0.00064,2,12,14
Zotu663,Zotu663,,other,Bacteria,Actinobacteriota,MB-A2-108,MB-A2-108,MB-A2-108,MB-A2-108,NA,Zotu663,0.000364,13,78,91
Zotu665,Zotu665,,other,Bacteria,Nitrospirota,Thermodesulfovibrionia,uncultured,uncultured,uncultured,uncultured_bacterium,Zotu665,0.000356,18,47,65
Zotu666,Zotu666,,other,Bacteria,Desulfobacterota,Desulfobacteria,Desulfatiglandales,Desulfatiglandaceae,Desulfatiglans,NA,Zotu666,0.000311,0,2,2
Zotu67,Zotu67,,other,Bacteria,MBNT15,MBNT15,MBNT15,MBNT15,MBNT15,uncultured_delta,Zotu67,0.00305,4,17,21
Zotu671,Zotu671,,other,Bacteria,Latescibacterota,Latescibacterota,Latescibacterota,Latescibacterota,Latescibacterota,uncultured_bacterium,Zotu671,0.000295,26,100,126
Zotu672,Zotu672,,other,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,uncultured,NA,Zotu672,0.000311,15,57,72
Zotu673,Zotu673,,other,Bacteria,Myxococcota,Polyangia,Polyangiales,BIrii41,BIrii41,NA,Zotu673,0.000346,16,55,71
Zotu1698,Zotu1698,,other,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter,uncultured_bacterium,Zotu1698,0.000108,1,0,1
Zotu675,Zotu675,,other,Bacteria,Sva0485,Sva0485,Sva0485,Sva0485,Sva0485,uncultured_soil,Zotu675,0.000339,30,112,142
Zotu677,Zotu677,,other,Bacteria,Nitrospirota,Thermodesulfovibrionia,uncultured,uncultured,uncultured,uncultured_bacterium,Zotu677,0.000271,0,1,1
Zotu678,Zotu678,,other,Bacteria,Desulfobacterota,Desulfuromonadia,Geobacterales,Geobacteraceae,Geobacter,NA,Zotu678,0.000254,10,28,38
Zotu679,Zotu679,,other,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidetes_BD2-2,Bacteroidetes_BD2-2,uncultured_prokaryote,Zotu679,0.000326,9,27,36
Zotu68,Zotu68,,other,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,NA,NA,NA,Zotu68,0.000709,0,2,2
Zotu683,Zotu683,,other,Bacteria,Campilobacterota,Campylobacteria,Campylobacterales,uncultured,uncultured,NA,Zotu683,0.000123,1,2,3
Zotu686,Zotu686,,other,Bacteria,Acidobacteriota,Acidobacteriae,Solibacterales,Solibacteraceae,Candidatus_Solibacter,NA,Zotu686,0.00036,0,1,1
Zotu689,Zotu689,,other,Bacteria,Sva0485,Sva0485,Sva0485,Sva0485,Sva0485,NA,Zotu689,0.000293,5,16,21
