"","sample_id","all_reads","all_reads_nonbacteria","all_reads_bacteria","all_reads_bacteria_per","SampleID","Experiment","Timepoint","Variety","Compartment","Treatment","Sample","MergeExpTime"
"39","E1_MRS_Int1_3",74867,54,74813,"99.9279%","E1_MRS_Int1_3","Exp1","day1","MH63","Rhizosphere","Intact","E1_MRS_Int1","Exp1_day1"
"40","E1_MRS_Int3_1",50661,69,50592,"99.8638%","E1_MRS_Int3_1","Exp1","day3","MH63","Rhizosphere","Intact","E1_MRS_Int3","Exp1_day3"
"41","E1_MRS_Int3_2",65712,49,65663,"99.9254%","E1_MRS_Int3_2","Exp1","day3","MH63","Rhizosphere","Intact","E1_MRS_Int3","Exp1_day3"
"42","E1_MRS_Int3_3",59734,98,59636,"99.8359%","E1_MRS_Int3_3","Exp1","day3","MH63","Rhizosphere","Intact","E1_MRS_Int3","Exp1_day3"
"43","E1_MRS_Int5_1",65427,51,65376,"99.9221%","E1_MRS_Int5_1","Exp1","day5","MH63","Rhizosphere","Intact","E1_MRS_Int5","Exp1_day5"
"44","E1_MRS_Int5_2",107345,84,107261,"99.9217%","E1_MRS_Int5_2","Exp1","day5","MH63","Rhizosphere","Intact","E1_MRS_Int5","Exp1_day5"
"45","E1_MRS_Int5_3",74497,53,74444,"99.9289%","E1_MRS_Int5_3","Exp1","day5","MH63","Rhizosphere","Intact","E1_MRS_Int5","Exp1_day5"
"46","E1_MRS_Int7_1",60340,100,60240,"99.8343%","E1_MRS_Int7_1","Exp1","day7","MH63","Rhizosphere","Intact","E1_MRS_Int7","Exp1_day7"
"47","E1_MRS_Int7_2",59883,79,59804,"99.8681%","E1_MRS_Int7_2","Exp1","day7","MH63","Rhizosphere","Intact","E1_MRS_Int7","Exp1_day7"
"48","E1_MRS_Int7_3",34114,42,34072,"99.8769%","E1_MRS_Int7_3","Exp1","day7","MH63","Rhizosphere","Intact","E1_MRS_Int7","Exp1_day7"
"49","E1_NRE_Def1_1",31086,500,30586,"98.3916%","E1_NRE_Def1_1","Exp1","day1","NIP","Root","Defoliation","E1_NRE_Def1","Exp1_day1"
"50","E1_NRE_Def1_2",16901,371,16530,"97.8049%","E1_NRE_Def1_2","Exp1","day1","NIP","Root","Defoliation","E1_NRE_Def1","Exp1_day1"
"51","E1_NRE_Def1_3",139634,2549,137085,"98.1745%","E1_NRE_Def1_3","Exp1","day1","NIP","Root","Defoliation","E1_NRE_Def1","Exp1_day1"
"52","E1_NRE_Def3_1",35574,1344,34230,"96.222%","E1_NRE_Def3_1","Exp1","day3","NIP","Root","Defoliation","E1_NRE_Def3","Exp1_day3"
"53","E1_NRE_Def3_2",53200,1200,52000,"97.7444%","E1_NRE_Def3_2","Exp1","day3","NIP","Root","Defoliation","E1_NRE_Def3","Exp1_day3"
"54","E1_NRE_Def3_3",48956,1148,47808,"97.655%","E1_NRE_Def3_3","Exp1","day3","NIP","Root","Defoliation","E1_NRE_Def3","Exp1_day3"
"55","E1_NRE_Def5_1",41744,1044,40700,"97.499%","E1_NRE_Def5_1","Exp1","day5","NIP","Root","Defoliation","E1_NRE_Def5","Exp1_day5"
"56","E1_NRE_Def5_2",117890,1620,116270,"98.6258%","E1_NRE_Def5_2","Exp1","day5","NIP","Root","Defoliation","E1_NRE_Def5","Exp1_day5"
"57","E1_NRE_Def5_3",62607,1878,60729,"97.0003%","E1_NRE_Def5_3","Exp1","day5","NIP","Root","Defoliation","E1_NRE_Def5","Exp1_day5"
"58","E1_NRE_Def7_1",43820,1121,42699,"97.4418%","E1_NRE_Def7_1","Exp1","day7","NIP","Root","Defoliation","E1_NRE_Def7","Exp1_day7"
"59","E1_NRE_Def7_2",105802,1711,104091,"98.3828%","E1_NRE_Def7_2","Exp1","day7","NIP","Root","Defoliation","E1_NRE_Def7","Exp1_day7"
"60","E1_NRE_Def7_3",47339,1018,46321,"97.8496%","E1_NRE_Def7_3","Exp1","day7","NIP","Root","Defoliation","E1_NRE_Def7","Exp1_day7"
"61","E1_NRE_Int1_1",136280,896,135384,"99.3425%","E1_NRE_Int1_1","Exp1","day1","NIP","Root","Intact","E1_NRE_Int1","Exp1_day1"
"62","E1_NRE_Int1_2",45409,770,44639,"98.3043%","E1_NRE_Int1_2","Exp1","day1","NIP","Root","Intact","E1_NRE_Int1","Exp1_day1"
"63","E1_NRE_Int1_3",91499,2420,89079,"97.3552%","E1_NRE_Int1_3","Exp1","day1","NIP","Root","Intact","E1_NRE_Int1","Exp1_day1"
"64","E1_NRE_Int3_1",28809,702,28107,"97.5633%","E1_NRE_Int3_1","Exp1","day3","NIP","Root","Intact","E1_NRE_Int3","Exp1_day3"
"65","E1_NRE_Int3_2",52227,930,51297,"98.2193%","E1_NRE_Int3_2","Exp1","day3","NIP","Root","Intact","E1_NRE_Int3","Exp1_day3"
"66","E1_NRE_Int3_3",36696,992,35704,"97.2967%","E1_NRE_Int3_3","Exp1","day3","NIP","Root","Intact","E1_NRE_Int3","Exp1_day3"
"67","E1_NRE_Int5_1",127077,2072,125005,"98.3695%","E1_NRE_Int5_1","Exp1","day5","NIP","Root","Intact","E1_NRE_Int5","Exp1_day5"
"68","E1_NRE_Int5_2",94040,1270,92770,"98.6495%","E1_NRE_Int5_2","Exp1","day5","NIP","Root","Intact","E1_NRE_Int5","Exp1_day5"
"69","E1_NRE_Int5_3",107269,2173,105096,"97.9743%","E1_NRE_Int5_3","Exp1","day5","NIP","Root","Intact","E1_NRE_Int5","Exp1_day5"
"70","E1_NRE_Int7_1",99656,3807,95849,"96.1799%","E1_NRE_Int7_1","Exp1","day7","NIP","Root","Intact","E1_NRE_Int7","Exp1_day7"
"71","E1_NRE_Int7_2",69572,826,68746,"98.8127%","E1_NRE_Int7_2","Exp1","day7","NIP","Root","Intact","E1_NRE_Int7","Exp1_day7"
"72","E1_NRE_Int7_3",104949,1513,103436,"98.5583%","E1_NRE_Int7_3","Exp1","day7","NIP","Root","Intact","E1_NRE_Int7","Exp1_day7"
"73","E1_NRS_Def1_1",60497,234,60263,"99.6132%","E1_NRS_Def1_1","Exp1","day1","NIP","Rhizosphere","Defoliation","E1_NRS_Def1","Exp1_day1"
"74","E1_NRS_Def1_2",57194,458,56736,"99.1992%","E1_NRS_Def1_2","Exp1","day1","NIP","Rhizosphere","Defoliation","E1_NRS_Def1","Exp1_day1"
"75","E1_NRS_Def1_3",55755,341,55414,"99.3884%","E1_NRS_Def1_3","Exp1","day1","NIP","Rhizosphere","Defoliation","E1_NRS_Def1","Exp1_day1"
"76","E1_NRS_Def3_1",21584,43,21541,"99.8008%","E1_NRS_Def3_1","Exp1","day3","NIP","Rhizosphere","Defoliation","E1_NRS_Def3","Exp1_day3"
"77","E1_NRS_Def3_2",56284,129,56155,"99.7708%","E1_NRS_Def3_2","Exp1","day3","NIP","Rhizosphere","Defoliation","E1_NRS_Def3","Exp1_day3"
"78","E1_NRS_Def3_3",42625,53,42572,"99.8757%","E1_NRS_Def3_3","Exp1","day3","NIP","Rhizosphere","Defoliation","E1_NRS_Def3","Exp1_day3"
"79","E1_NRS_Def5_1",30354,25,30329,"99.9176%","E1_NRS_Def5_1","Exp1","day5","NIP","Rhizosphere","Defoliation","E1_NRS_Def5","Exp1_day5"
"80","E1_NRS_Def5_2",42881,27,42854,"99.937%","E1_NRS_Def5_2","Exp1","day5","NIP","Rhizosphere","Defoliation","E1_NRS_Def5","Exp1_day5"
"81","E1_NRS_Def5_3",23537,27,23510,"99.8853%","E1_NRS_Def5_3","Exp1","day5","NIP","Rhizosphere","Defoliation","E1_NRS_Def5","Exp1_day5"
"82","E1_NRS_Def7_1",19540,24,19516,"99.8772%","E1_NRS_Def7_1","Exp1","day7","NIP","Rhizosphere","Defoliation","E1_NRS_Def7","Exp1_day7"
"83","E1_NRS_Def7_2",39258,54,39204,"99.8624%","E1_NRS_Def7_2","Exp1","day7","NIP","Rhizosphere","Defoliation","E1_NRS_Def7","Exp1_day7"
"84","E1_NRS_Def7_3",36628,36,36592,"99.9017%","E1_NRS_Def7_3","Exp1","day7","NIP","Rhizosphere","Defoliation","E1_NRS_Def7","Exp1_day7"
"85","E1_NRS_Int1_1",71480,387,71093,"99.4586%","E1_NRS_Int1_1","Exp1","day1","NIP","Rhizosphere","Intact","E1_NRS_Int1","Exp1_day1"
"86","E1_NRS_Int1_2",86407,288,86119,"99.6667%","E1_NRS_Int1_2","Exp1","day1","NIP","Rhizosphere","Intact","E1_NRS_Int1","Exp1_day1"
"87","E1_NRS_Int1_3",82205,422,81783,"99.4866%","E1_NRS_Int1_3","Exp1","day1","NIP","Rhizosphere","Intact","E1_NRS_Int1","Exp1_day1"
"88","E1_NRS_Int3_1",41114,109,41005,"99.7349%","E1_NRS_Int3_1","Exp1","day3","NIP","Rhizosphere","Intact","E1_NRS_Int3","Exp1_day3"
"89","E1_NRS_Int3_2",69007,147,68860,"99.787%","E1_NRS_Int3_2","Exp1","day3","NIP","Rhizosphere","Intact","E1_NRS_Int3","Exp1_day3"
"90","E1_NRS_Int3_3",60004,144,59860,"99.76%","E1_NRS_Int3_3","Exp1","day3","NIP","Rhizosphere","Intact","E1_NRS_Int3","Exp1_day3"
"91","E1_NRS_Int5_1",21450,24,21426,"99.8881%","E1_NRS_Int5_1","Exp1","day5","NIP","Rhizosphere","Intact","E1_NRS_Int5","Exp1_day5"
"92","E1_NRS_Int5_2",17064,15,17049,"99.9121%","E1_NRS_Int5_2","Exp1","day5","NIP","Rhizosphere","Intact","E1_NRS_Int5","Exp1_day5"
"93","E1_NRS_Int5_3",34934,40,34894,"99.8855%","E1_NRS_Int5_3","Exp1","day5","NIP","Rhizosphere","Intact","E1_NRS_Int5","Exp1_day5"
"94","E1_NRS_Int7_1",25200,39,25161,"99.8452%","E1_NRS_Int7_1","Exp1","day7","NIP","Rhizosphere","Intact","E1_NRS_Int7","Exp1_day7"
"95","E1_NRS_Int7_2",20003,18,19985,"99.91%","E1_NRS_Int7_2","Exp1","day7","NIP","Rhizosphere","Intact","E1_NRS_Int7","Exp1_day7"
"96","E1_NRS_Int7_3",17783,31,17752,"99.8257%","E1_NRS_Int7_3","Exp1","day7","NIP","Rhizosphere","Intact","E1_NRS_Int7","Exp1_day7"
"97","E1_unplanted_soil_1",216842,223,216619,"99.8972%","E1_unplanted_soil_1","Exp1","bulk soil","bulk soil","BS","Bulk soil","E1_bs","Exp1_bulk soil"
"98","E1_unplanted_soil_3",142194,121,142073,"99.9149%","E1_unplanted_soil_3","Exp1","bulk soil","bulk soil","BS","Bulk soil","E1_bs","Exp1_bulk soil"
"99","E1_unplanted_soil_4",133678,101,133577,"99.9244%","E1_unplanted_soil_4","Exp1","bulk soil","bulk soil","BS","Bulk soil","E1_bs","Exp1_bulk soil"
"100","E1_unplanted_soil_6",164631,165,164466,"99.8998%","E1_unplanted_soil_6","Exp1","bulk soil","bulk soil","BS","Bulk soil","E1_bs","Exp1_bulk soil"
"101","E2_MRE_Def2_1",96961,807,96154,"99.1677%","E2_MRE_Def2_1","Exp2","day2","MH63","Root","Defoliation","E2_MRE_Def2","Exp2_day2"
"102","E2_MRE_Def2_2",59078,763,58315,"98.7085%","E2_MRE_Def2_2","Exp2","day2","MH63","Root","Defoliation","E2_MRE_Def2","Exp2_day2"
"103","E2_MRE_Def2_3",94720,1056,93664,"98.8851%","E2_MRE_Def2_3","Exp2","day2","MH63","Root","Defoliation","E2_MRE_Def2","Exp2_day2"
"104","E2_MRE_Def3_1",57129,204,56925,"99.6429%","E2_MRE_Def3_1","Exp2","day3","MH63","Root","Defoliation","E2_MRE_Def3","Exp2_day3"
"105","E2_MRE_Def3_2",95092,379,94713,"99.6014%","E2_MRE_Def3_2","Exp2","day3","MH63","Root","Defoliation","E2_MRE_Def3","Exp2_day3"
"106","E2_MRE_Def3_3",56664,542,56122,"99.0435%","E2_MRE_Def3_3","Exp2","day3","MH63","Root","Defoliation","E2_MRE_Def3","Exp2_day3"
"107","E2_MRE_Def4_1",97730,203,97527,"99.7923%","E2_MRE_Def4_1","Exp2","day4","MH63","Root","Defoliation","E2_MRE_Def4","Exp2_day4"
"108","E2_MRE_Def4_2",96427,265,96162,"99.7252%","E2_MRE_Def4_2","Exp2","day4","MH63","Root","Defoliation","E2_MRE_Def4","Exp2_day4"
"109","E2_MRE_Def4_3",78543,138,78405,"99.8243%","E2_MRE_Def4_3","Exp2","day4","MH63","Root","Defoliation","E2_MRE_Def4","Exp2_day4"
"110","E2_MRE_Def5_1",28936,50,28886,"99.8272%","E2_MRE_Def5_1","Exp2","day5","MH63","Root","Defoliation","E2_MRE_Def5","Exp2_day5"
"111","E2_MRE_Def5_2",45971,74,45897,"99.839%","E2_MRE_Def5_2","Exp2","day5","MH63","Root","Defoliation","E2_MRE_Def5","Exp2_day5"
"112","E2_MRE_Def5_3",71354,240,71114,"99.6636%","E2_MRE_Def5_3","Exp2","day5","MH63","Root","Defoliation","E2_MRE_Def5","Exp2_day5"
"113","E2_MRE_Int2_1",73429,528,72901,"99.2809%","E2_MRE_Int2_1","Exp2","day2","MH63","Root","Intact","E2_MRE_Int2","Exp2_day2"
"114","E2_MRE_Int2_2",72425,750,71675,"98.9644%","E2_MRE_Int2_2","Exp2","day2","MH63","Root","Intact","E2_MRE_Int2","Exp2_day2"
"115","E2_MRE_Int2_3",86896,877,86019,"98.9907%","E2_MRE_Int2_3","Exp2","day2","MH63","Root","Intact","E2_MRE_Int2","Exp2_day2"
"116","E2_MRE_Int3_1",101617,1476,100141,"98.5475%","E2_MRE_Int3_1","Exp2","day3","MH63","Root","Intact","E2_MRE_Int3","Exp2_day3"
"117","E2_MRE_Int3_2",15129,96,15033,"99.3655%","E2_MRE_Int3_2","Exp2","day3","MH63","Root","Intact","E2_MRE_Int3","Exp2_day3"
"118","E2_MRE_Int3_3",98089,579,97510,"99.4097%","E2_MRE_Int3_3","Exp2","day3","MH63","Root","Intact","E2_MRE_Int3","Exp2_day3"
"119","E2_MRE_Int4_1",74871,195,74676,"99.7396%","E2_MRE_Int4_1","Exp2","day4","MH63","Root","Intact","E2_MRE_Int4","Exp2_day4"
"120","E2_MRE_Int4_2",98360,358,98002,"99.636%","E2_MRE_Int4_2","Exp2","day4","MH63","Root","Intact","E2_MRE_Int4","Exp2_day4"
"121","E2_MRE_Int4_3",87569,533,87036,"99.3913%","E2_MRE_Int4_3","Exp2","day4","MH63","Root","Intact","E2_MRE_Int4","Exp2_day4"
"122","E2_MRE_Int5_1",100149,357,99792,"99.6435%","E2_MRE_Int5_1","Exp2","day5","MH63","Root","Intact","E2_MRE_Int5","Exp2_day5"
"123","E2_MRE_Int5_2",108678,192,108486,"99.8233%","E2_MRE_Int5_2","Exp2","day5","MH63","Root","Intact","E2_MRE_Int5","Exp2_day5"
"124","E2_MRE_Int5_3",98583,166,98417,"99.8316%","E2_MRE_Int5_3","Exp2","day5","MH63","Root","Intact","E2_MRE_Int5","Exp2_day5"
"125","E2_MRS_Def2_1",45387,40,45347,"99.9119%","E2_MRS_Def2_1","Exp2","day2","MH63","Rhizosphere","Defoliation","E2_MRS_Def2","Exp2_day2"
"126","E2_MRS_Def2_2",56492,94,56398,"99.8336%","E2_MRS_Def2_2","Exp2","day2","MH63","Rhizosphere","Defoliation","E2_MRS_Def2","Exp2_day2"
"127","E2_MRS_Def2_3",61006,50,60956,"99.918%","E2_MRS_Def2_3","Exp2","day2","MH63","Rhizosphere","Defoliation","E2_MRS_Def2","Exp2_day2"
"128","E2_MRS_Def3_1",53334,73,53261,"99.8631%","E2_MRS_Def3_1","Exp2","day3","MH63","Rhizosphere","Defoliation","E2_MRS_Def3","Exp2_day3"
"129","E2_MRS_Def3_2",56997,33,56964,"99.9421%","E2_MRS_Def3_2","Exp2","day3","MH63","Rhizosphere","Defoliation","E2_MRS_Def3","Exp2_day3"
"130","E2_MRS_Def3_3",33793,43,33750,"99.8728%","E2_MRS_Def3_3","Exp2","day3","MH63","Rhizosphere","Defoliation","E2_MRS_Def3","Exp2_day3"
"131","E2_MRS_Def4_1",61451,48,61403,"99.9219%","E2_MRS_Def4_1","Exp2","day4","MH63","Rhizosphere","Defoliation","E2_MRS_Def4","Exp2_day4"
"132","E2_MRS_Def4_2",75831,65,75766,"99.9143%","E2_MRS_Def4_2","Exp2","day4","MH63","Rhizosphere","Defoliation","E2_MRS_Def4","Exp2_day4"
"133","E2_MRS_Def4_3",60293,68,60225,"99.8872%","E2_MRS_Def4_3","Exp2","day4","MH63","Rhizosphere","Defoliation","E2_MRS_Def4","Exp2_day4"
"134","E2_MRS_Def5_1",72990,94,72896,"99.8712%","E2_MRS_Def5_1","Exp2","day5","MH63","Rhizosphere","Defoliation","E2_MRS_Def5","Exp2_day5"
"135","E2_MRS_Def5_2",51759,48,51711,"99.9073%","E2_MRS_Def5_2","Exp2","day5","MH63","Rhizosphere","Defoliation","E2_MRS_Def5","Exp2_day5"
"136","E2_MRS_Def5_3",78000,92,77908,"99.8821%","E2_MRS_Def5_3","Exp2","day5","MH63","Rhizosphere","Defoliation","E2_MRS_Def5","Exp2_day5"
"137","E2_MRS_Int2_1",54962,68,54894,"99.8763%","E2_MRS_Int2_1","Exp2","day2","MH63","Rhizosphere","Intact","E2_MRS_Int2","Exp2_day2"
"138","E2_MRS_Int2_2",47006,53,46953,"99.8872%","E2_MRS_Int2_2","Exp2","day2","MH63","Rhizosphere","Intact","E2_MRS_Int2","Exp2_day2"
"139","E2_MRS_Int2_3",49184,55,49129,"99.8882%","E2_MRS_Int2_3","Exp2","day2","MH63","Rhizosphere","Intact","E2_MRS_Int2","Exp2_day2"
"140","E2_MRS_Int3_1",49380,65,49315,"99.8684%","E2_MRS_Int3_1","Exp2","day3","MH63","Rhizosphere","Intact","E2_MRS_Int3","Exp2_day3"
"141","E2_MRS_Int3_2",38692,39,38653,"99.8992%","E2_MRS_Int3_2","Exp2","day3","MH63","Rhizosphere","Intact","E2_MRS_Int3","Exp2_day3"
"142","E2_MRS_Int3_3",46138,56,46082,"99.8786%","E2_MRS_Int3_3","Exp2","day3","MH63","Rhizosphere","Intact","E2_MRS_Int3","Exp2_day3"
"143","E2_MRS_Int4_1",55150,74,55076,"99.8658%","E2_MRS_Int4_1","Exp2","day4","MH63","Rhizosphere","Intact","E2_MRS_Int4","Exp2_day4"
"144","E2_MRS_Int4_2",47882,44,47838,"99.9081%","E2_MRS_Int4_2","Exp2","day4","MH63","Rhizosphere","Intact","E2_MRS_Int4","Exp2_day4"
"145","E2_MRS_Int4_3",65574,69,65505,"99.8948%","E2_MRS_Int4_3","Exp2","day4","MH63","Rhizosphere","Intact","E2_MRS_Int4","Exp2_day4"
"146","E2_MRS_Int5_1",58661,71,58590,"99.879%","E2_MRS_Int5_1","Exp2","day5","MH63","Rhizosphere","Intact","E2_MRS_Int5","Exp2_day5"
"147","E2_MRS_Int5_2",71619,102,71517,"99.8576%","E2_MRS_Int5_2","Exp2","day5","MH63","Rhizosphere","Intact","E2_MRS_Int5","Exp2_day5"
"148","E2_MRS_Int5_3",76980,132,76848,"99.8285%","E2_MRS_Int5_3","Exp2","day5","MH63","Rhizosphere","Intact","E2_MRS_Int5","Exp2_day5"
"149","E2_NRE_Def2_1",80252,338,79914,"99.5788%","E2_NRE_Def2_1","Exp2","day2","NIP","Root","Defoliation","E2_NRE_Def2","Exp2_day2"
"150","E2_NRE_Def2_2",95202,324,94878,"99.6597%","E2_NRE_Def2_2","Exp2","day2","NIP","Root","Defoliation","E2_NRE_Def2","Exp2_day2"
"151","E2_NRE_Def2_3",96799,298,96501,"99.6921%","E2_NRE_Def2_3","Exp2","day2","NIP","Root","Defoliation","E2_NRE_Def2","Exp2_day2"
"152","E2_NRE_Def3_1",80156,331,79825,"99.5871%","E2_NRE_Def3_1","Exp2","day3","NIP","Root","Defoliation","E2_NRE_Def3","Exp2_day3"
"153","E2_NRE_Def3_2",86662,301,86361,"99.6527%","E2_NRE_Def3_2","Exp2","day3","NIP","Root","Defoliation","E2_NRE_Def3","Exp2_day3"
"154","E2_NRE_Def3_3",99426,332,99094,"99.6661%","E2_NRE_Def3_3","Exp2","day3","NIP","Root","Defoliation","E2_NRE_Def3","Exp2_day3"
"155","E2_NRE_Def4_1",68056,359,67697,"99.4725%","E2_NRE_Def4_1","Exp2","day4","NIP","Root","Defoliation","E2_NRE_Def4","Exp2_day4"
"156","E2_NRE_Def4_2",71366,265,71101,"99.6287%","E2_NRE_Def4_2","Exp2","day4","NIP","Root","Defoliation","E2_NRE_Def4","Exp2_day4"
"157","E2_NRE_Def4_3",80165,356,79809,"99.5559%","E2_NRE_Def4_3","Exp2","day4","NIP","Root","Defoliation","E2_NRE_Def4","Exp2_day4"
