"","X","Id","Label","timeset","modularity_class","labeldiff","kingdom","phylum","class","order","family","genus","species","name","abun","module2"
"47",47,"Zotu1351","Zotu1351",NA,22,"other","Bacteria","Myxococcota","Polyangia","Polyangiales","Polyangiaceae","uncultured",NA,"Zotu1351",0.000139,"other"
"48",48,"Zotu1114","Zotu1114",NA,22,"other","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prolixibacteraceae","Roseimarinus","uncultured_bacterium","Zotu1114",0.000112,"other"
"49",49,"Zotu13577","Zotu13577",NA,7,"other","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","P3OB-42","uncultured_soil","Zotu13577",0.000191,"7"
"50",50,"Zotu1358","Zotu1358",NA,0,"other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Herbaspirillum",NA,"Zotu1358",0.000224,"0"
"51",51,"Zotu13666","Zotu13666",NA,7,"diff","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales",NA,NA,NA,"Zotu13666",0.000196,"7"
"52",52,"Zotu13667","Zotu13667",NA,7,"other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Sulfuritalea",NA,"Zotu13667",0.000111,"7"
"53",53,"Zotu13684","Zotu13684",NA,7,"other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","uncultured",NA,"Zotu13684",0.00019,"7"
"54",54,"Zotu13688","Zotu13688",NA,7,"diff","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales",NA,NA,NA,"Zotu13688",0.000152,"7"
"55",55,"Zotu13752","Zotu13752",NA,2,"other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae",NA,NA,"Zotu13752",0.000191,"2"
"56",56,"Zotu1386","Zotu1386",NA,7,"other","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","P3OB-42","uncultured_soil","Zotu1386",0.000492,"7"
"57",57,"Zotu14","Zotu14",NA,8,"other","Bacteria","MBNT15","MBNT15","MBNT15","MBNT15","MBNT15","uncultured_prokaryote","Zotu14",0.001208,"8"
"58",58,"Zotu113","Zotu113",NA,8,"other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","SC-I-84","SC-I-84",NA,"Zotu113",0.000141,"8"
