"","feature","method","group1","group2","p_values","adj_method","p_adjust","Compartment","Experiment","Variety","Timepoint","logFC","int_all","def_all"
"58","ko03060","LinDA","Defoliation","Intact","0.958424514100664","BH",0.999592632031329,"Root","Exp1","NIP","day1",0.00195733341670339,0.00999276201752783,0.0100063285999501
"59","ko04370","LinDA","Defoliation","Intact","0.758095709612033","BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.870205620174969,6.21403058287445e-08,3.39950271433541e-08
"60","ko04740","LinDA","Defoliation","Intact","0.14167785508478","BH",0.999592632031329,"Root","Exp1","NIP","day1",-1.53168122145084,6.77599668619566e-07,2.34364157453358e-07
"61","ko00380","LinDA","Defoliation","Intact","0.814114746520414","BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0334850679609486,0.00744626990814169,0.00727543163878132
"62","ko00500","LinDA","Defoliation","Intact","0.954147587062149","BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0125673796830276,0.00892322624213882,0.00884583320402523
"63","ko05120","LinDA","Defoliation","Intact","0.776061840097707","BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0413672908257056,0.00118507706772963,0.00115157916517868
"64","ko04666","LinDA","Defoliation","Intact","0.402984508138273","BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.635920577747301,2.36781896271123e-06,1.52376265510485e-06
"65","ko05322","LinDA","Defoliation","Intact","0.927226865864139","BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.200014340381845,1.20227591351397e-05,1.04663157018241e-05
"66","ko04964","LinDA","Defoliation","Intact","0.63746864723111","BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0801799928841583,0.000870331800072933,0.000823281334376073
"67","ko04962","LinDA","Defoliation","Intact","0.44997714560612","BH",0.999592632031329,"Root","Exp1","NIP","day1",1.22540273943349,2.50165320806317e-08,5.84938337927892e-08
"68","ko04960","LinDA","Defoliation","Intact","0.133040965938715","BH",0.999592632031329,"Root","Exp1","NIP","day1",1.10245636211052,1.0416864952413e-06,2.23670890996571e-06
"69","ko00625","LinDA","Defoliation","Intact","0.909174737684327","BH",0.999592632031329,"Root","Exp1","NIP","day1",0.0589376245749024,0.00250145666691237,0.00260576338217731
"70","ko00624","LinDA","Defoliation","Intact","0.837406548805564","BH",0.999592632031329,"Root","Exp1","NIP","day1",0.176791846430644,0.000319244772816642,0.000360863904481168
"71","ko00627","LinDA","Defoliation","Intact","0.84692035962292","BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0255814257489719,0.00363962692589183,0.0035756589841021
"72","ko00626","LinDA","Defoliation","Intact","0.89656366658194","BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.00891146990286821,0.00195796575974847,0.00194590875924589
"73","ko00621","LinDA","Defoliation","Intact","0.174794799549834","BH",0.999592632031329,"Root","Exp1","NIP","day1",0.158598314795166,0.00057580687188774,0.000642716861440275
"74","ko00620","LinDA","Defoliation","Intact","0.904913178619892","BH",0.999592632031329,"Root","Exp1","NIP","day1",0.00657764280115166,0.0178486248244891,0.0179301873974197
"75","ko00623","LinDA","Defoliation","Intact","0.940349235247536","BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0128228516952661,0.00324460886111407,0.00321589815799592
"76","ko00622","LinDA","Defoliation","Intact","0.860915741718432","BH",0.999592632031329,"Root","Exp1","NIP","day1",0.0841108894446891,0.000457984813312344,0.000485479591465143
"77","ko00270","LinDA","Defoliation","Intact","0.874113246923205","BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0255163724635091,0.0138485605388185,0.0136057798766019
"78","ko04380","LinDA","Defoliation","Intact","0.164691440031414","BH",0.999592632031329,"Root","Exp1","NIP","day1",2.43595775538336,1.97079032213159e-07,1.066440852729e-06
"79","ko00940","LinDA","Defoliation","Intact","0.452794697802567","BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0994539135546418,0.000893548754349407,0.000834026101739612
"80","ko00941","LinDA","Defoliation","Intact","0.575790462551353","BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.16628968782557,0.000489376948581966,0.000436099234816393
"81","ko01053","LinDA","Defoliation","Intact","0.196311014870205","BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.434823045300987,0.000770377691612462,0.000569913466007905
"82","ko00943","LinDA","Defoliation","Intact","0.22060385307702","BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.464493579253358,0.000251266869167573,0.000182099489484034
"83","ko00100","LinDA","Defoliation","Intact","0.30355174789159","BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.256850647421138,0.000703485591491561,0.000588756151145839
"84","ko00945","LinDA","Defoliation","Intact","0.70375801767293","BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0616636704930328,0.000318416503342102,0.000305093499506057
"85","ko01056","LinDA","Defoliation","Intact","0.00118753595663335","BH",0.292133845331804,"Root","Exp1","NIP","day1",-0.96643381175314,1.63787656796772e-06,8.38215338309442e-07
"86","ko05016","LinDA","Defoliation","Intact","0.343858322858709","BH",0.999592632031329,"Root","Exp1","NIP","day1",0.142315950790646,0.0025406647543374,0.00280406923711679
