"","X","level1","Exp1_MH63_Root_day1_logFC","Exp1_MH63_Root_day1_p_values","Exp1_MH63_Root_day3_logFC","Exp1_MH63_Root_day3_p_values","Exp1_MH63_Root_day5_logFC","Exp1_MH63_Root_day5_p_values","Exp1_MH63_Root_day7_logFC","Exp1_MH63_Root_day7_p_values","Exp2_MH63_Root_day2_logFC","Exp2_MH63_Root_day2_p_values","Exp2_MH63_Root_day3_logFC","Exp2_MH63_Root_day3_p_values","Exp2_MH63_Root_day4_logFC","Exp2_MH63_Root_day4_p_values","Exp2_MH63_Root_day5_logFC","Exp2_MH63_Root_day5_p_values","Exp1_NIP_Root_day1_logFC","Exp1_NIP_Root_day1_p_values","Exp1_NIP_Root_day3_logFC","Exp1_NIP_Root_day3_p_values","Exp1_NIP_Root_day5_logFC","Exp1_NIP_Root_day5_p_values","Exp1_NIP_Root_day7_logFC","Exp1_NIP_Root_day7_p_values","Exp2_NIP_Root_day2_logFC","Exp2_NIP_Root_day2_p_values","Exp2_NIP_Root_day3_logFC","Exp2_NIP_Root_day3_p_values","Exp2_NIP_Root_day4_logFC","Exp2_NIP_Root_day4_p_values","Exp2_NIP_Root_day5_logFC","Exp2_NIP_Root_day5_p_values","level2","level3"
"46","WaitData","Toluene degradation",-0.0243947319455553,0.80906749942978,-0.149029133598166,0.0011149464536699,0.0826711747384643,0.238378307865518,0.0806699207567701,0.661945048295429,0.0322129115590288,0.672493362351581,0.0123453233611844,0.818892370676013,-0.0645337065796405,0.0691417370740216,-0.012812638656246,0.875780100266679,-0.0128228516952661,0.940349235247536,0.021628859116468,0.871290185617235,-0.0444348503944971,0.651491699176551,-0.0065660012471317,0.970758225577918,-0.0192550885953098,0.956067274770703,0.0113996446936685,0.730029697575507,-0.0497764736062608,0.854064765815451,0.0205122171955731,0.371055152093173,"Xenobiotics biodegradation and metabolism","Metabolism"
"47","WaitData","Xylene degradation",-0.75425672859048,0.066101619604522,-0.223106767111144,0.288720681637125,-0.862174101980829,0.0119999373904954,0.0395914659924087,0.859149442225962,0.167416195088548,0.777679239325749,0.87994208757387,0.0355983819835298,-0.656788100592844,0.000614013314189205,0.226760885708291,0.779181165709643,0.0841108894446891,0.860915741718432,-0.0662520512416092,0.81882984028293,0.210539529526684,0.461886003019864,0.128602036929807,0.609196722913275,0.107149980871803,0.853654984703253,0.0546451478865615,0.80683282952074,0.373470265019218,0.189578714490204,0.198119167864176,0.775595558261061,"Xenobiotics biodegradation and metabolism","Metabolism"
"50","WaitData","Flavonoid biosynthesis",-0.654841494155964,0.0814433001494999,0.499505669810807,0.182854425890136,-0.339375363264799,0.0718665650989766,0.267067708303174,0.454477228691665,-0.396410245439912,0.387410069705743,-0.668771417120474,0.439634130988174,0.420594964275753,0.00706114541431195,-0.0615460348347036,0.80160432249619,-0.16628968782557,0.575790462551353,0.10919862424468,0.441274627849092,0.282749738061126,0.28770199684801,-0.194020845685405,0.0994761965022757,-0.0045471965089896,0.808796809785275,-0.15285282602726,0.177742100261646,0.0546061420676508,0.586696738990448,-0.391943463611033,0.315148766451513,"Biosynthesis of other secondary metabolites","Metabolism"
"52","WaitData","Isoflavonoid biosynthesis",-0.923635795949847,0.146712306094766,0.356304084387965,0.556673037804473,0.586061390545996,0.432531176072824,1.40371964836957,0.0182232810599352,-0.549415426973807,0.156441867061498,0.266736883303813,0.885449085628901,0.0849883533482734,0.863558869521524,-0.189604914793121,0.459577307088566,-0.464493579253358,0.22060385307702,0.304422823964754,0.307821867831458,-0.00493870642744858,0.973926959471138,-0.0571447726676565,0.972623807972363,-0.354213823165555,0.665248918218499,-0.134434468818956,0.364903105819469,-0.0989647384064678,0.943527704159196,-0.906564969302055,0.128770773093681,"Biosynthesis of other secondary metabolites","Metabolism"
"54","WaitData","Stilbenoid, diarylheptanoid and gingerol biosynthesis",-0.622874115935236,0.111646419355733,-0.582976965042191,0.00503422224709804,-0.904851869108092,0.0778509338932932,-0.361067455166467,0.311872386610194,0.00732571489955461,0.86085120761715,0.269751798080726,0.752517584302099,0.0297350672000411,0.90800218304124,0.414397080044355,0.00793236004182836,-0.0616636704930328,0.70375801767293,0.0608603630257369,0.666430130311805,0.486830818852973,0.0690043696565833,0.0676684005738137,0.698342428865447,0.332430926073847,0.586787523129003,-0.197773051953725,0.49013653054641,0.678032436490167,0.0560638540618666,0.879017706780945,0.269972152711585,"Biosynthesis of other secondary metabolites","Metabolism"
"55","WaitData","Biosynthesis of type II polyketide backbone",0.409611204235117,0.442537496308022,0.284138803132968,0.897102388247085,-0.478241850241707,0.396395395528283,0.438148689925544,0.380889058986453,-0.15274381525274,0.930288764741906,0.67348617257528,0.0857577641989778,-1.77767954707575,0.175497102253466,-0.26427615503823,0.397946276071691,-0.96643381175314,0.00118753595663335,-0.668067619039965,0.101687756435679,0.113432277701272,0.35197966844164,1.51289165285107,0.0663903657283813,0.383477183811181,0.146832678295922,0.58099733420257,0.218685573233183,0.484799577315928,0.685513083148317,0.198273429502986,0.676933224554964,"Metabolism of terpenoids and polyketides","Metabolism"
"60","WaitData","Glycosaminoglycan degradation",0.634192485915737,0.499757985552396,0.550758723982832,0.314433054510585,-0.26688211564538,0.203380164326382,-0.634825779015815,0.062282308560198,-0.121412330007898,0.453361413140423,0.228042456255563,0.541647083941257,0.109332601192409,0.635773541758365,-0.148114740212489,0.198371268009265,0.119837804827708,0.872420264288525,-0.251829323656762,0.505464092527734,0.205046356313869,0.337579135568293,0.109984497786435,0.632543193068333,0.0101603623885344,0.956561326899987,0.121625317909942,0.480196870041717,-0.0599987165890006,0.809190019839113,-0.272927459528685,0.480192148594124,"Glycan biosynthesis and metabolism","Metabolism"
"61","WaitData","Phenylalanine metabolism",-0.139076624647472,0.315920293714617,-0.298321383604682,0.00362718006154806,-0.22349183398817,0.0554840702695664,-0.0807288471532946,0.346964787021345,0.072772697080361,0.555389162367519,0.155285092678194,0.342114492979941,-0.17658230127274,0.0372192307601144,0.0958383299123346,0.4651416968327,0.0216555997240799,0.892107889073033,-0.00487257911245812,0.953888054935508,0.035609160465895,0.809516381716175,0.0242326949274684,0.83380372740002,0.0411533531627247,0.837479487699532,0.0210190675587439,0.731944218116041,0.218826317594379,0.131533116110643,0.207361689638277,0.448096124955015,"Amino acid metabolism","Metabolism"
"62","WaitData","Nitrotoluene degradation",0.0107492874658454,0.953028663913907,-0.273627245943548,7.74719920141457e-05,-0.509741713694884,0.134800622305033,-0.481248891490672,0.106162062908338,0.208352051466429,0.0791611795841021,0.362278983895283,0.0345850748874479,-0.0805040078685781,0.211258626136196,0.139962975593394,0.420476757629996,0.130021452538863,0.727569504704552,-0.12722151835339,0.412295109168398,0.17892102921857,0.141231751817408,0.148072714013172,0.536004879334555,0.186743431348197,0.664651530647398,-0.0840791014699413,0.542344021504028,0.407994459229893,0.103033297651272,0.586127593963311,0.178804987762817,"Xenobiotics biodegradation and metabolism","Metabolism"
"63","WaitData","Glyoxylate and dicarboxylate metabolism",-0.00532789090213271,0.898084906112419,-0.220256255082892,0.00151086587389511,-0.0173949972559096,0.363192464849333,-0.0415684008141718,0.63925684504827,0.0678221075970819,0.509119238523431,0.113256314628269,0.330646084590993,-0.0944059420923715,0.0526561234045825,0.0204007871127732,0.71289581011133,0.0584840331513903,0.479074688841504,-0.017501865508503,0.80975583485122,-0.0869501626166328,0.37075731765659,0.0335805784157353,0.737111144056961,0.0141741920796696,0.842506900204904,0.0182631964018063,0.687009965032437,0.0826868870518471,0.281161139062717,0.118268907364018,0.322871792210226,"Carbohydrate metabolism","Metabolism"
