"label","id","labelDiff","Kingdom","Phylum","Class","Order","Family","Genus","Species","name","abun"
"Zotu546","Zotu546","other","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Herbinix","uncultured_bacterium","Zotu546",0.000272532111155452
"Zotu547","Zotu547","other","Bacteria","Proteobacteria","Alphaproteobacteria","Reyranellales","Reyranellaceae","Reyranella",NA,"Zotu547",0.000105335109185593
"Zotu558","Zotu558","other","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Methylomonas","uncultured_bacterium","Zotu558",0.00020317273104487
"Zotu565","Zotu565","other","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae","Kouleothrix","uncultured_bacterium","Zotu565",0.000336261322867587
"Zotu5776","Zotu5776","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA,"Zotu5776",0.000167069035010031
"Zotu58","Zotu58","other","Bacteria","Desulfobacterota","Desulfuromonadia","Geobacterales","Geobacteraceae","Geobacter",NA,"Zotu58",0.00107771531163239
"Zotu581","Zotu581","diff","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylococcaceae","Methyloterricola","Methyloterricola_oryzae","Zotu581",0.000238987900476576
"Zotu582","Zotu582","diff","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium",NA,"Zotu582",0.000168056907692681
"Zotu585","Zotu585","diff","Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","Desulfovibrio_sp.","Zotu585",0.000355533759212339
"Zotu593","Zotu593","other","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Afipia",NA,"Zotu593",0.000564310468151894
"Zotu5941","Zotu5941","other","Bacteria","Desulfobacterota","Desulfuromonadia","Geobacterales","Geobacteraceae","uncultured",NA,"Zotu5941",0.000212784997281815
"Zotu5944","Zotu5944","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Sulfuritalea","uncultured_bacterium","Zotu5944",0.000184599653404913
"Zotu6","Zotu6","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA,"Zotu6",0.0273373202130989
"Zotu602","Zotu602","other","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","M2PT2-76_termite_group","uncultured_bacterium","Zotu602",0.000379913029161364
"Zotu606","Zotu606","other","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","Agrobacterium_larrymoorei","Zotu606",0.000275821796914104
"Zotu609","Zotu609","other","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium",NA,"Zotu609",0.000145725735697419
"Zotu61","Zotu61","other","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","Anaerovorax","uncultured_Anaerovorax","Zotu61",0.00127878569220731
"Zotu615","Zotu615","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA,"Zotu615",0.000426676089397511
"Zotu619","Zotu619","other","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus",NA,"Zotu619",0.00123500087557278
"Zotu620","Zotu620","other","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","P3OB-42","metagenome","Zotu620",0.000265196626924589
"Zotu6206","Zotu6206","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Hydrogenophilaceae","uncultured","uncultured_bacterium","Zotu6206",0.000358098362123583
"Zotu622","Zotu622","other","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Marinilabiliaceae","[Cytophaga]_xylanolytica_group","uncultured_bacterium","Zotu622",0.000276420919853274
"Zotu625","Zotu625","other","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys",NA,"Zotu625",0.000132142475982504
"Zotu631","Zotu631","other","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Methylomonas","uncultured_bacterium","Zotu631",0.000175056849644515
"Zotu638","Zotu638","other","Bacteria","Myxococcota","Polyangia","Haliangiales","Haliangiaceae","Haliangium","uncultured_bacterium","Zotu638",0.00039472845623211
"Zotu639","Zotu639","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae",NA,NA,"Zotu639",0.000952538040284562
"Zotu6401","Zotu6401","other","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","uncultured","uncultured_bacterium","Zotu6401",0.000131846099055429
"Zotu650","Zotu650","other","Bacteria","Planctomycetota","vadinHA49","vadinHA49","vadinHA49","vadinHA49",NA,"Zotu650",0.000243727825629061
"Zotu652","Zotu652","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae",NA,NA,"Zotu652",0.000445293954893949
"Zotu66","Zotu66","other","Bacteria","MBNT15","MBNT15","MBNT15","MBNT15","MBNT15",NA,"Zotu66",0.000254167577779374
"Zotu660","Zotu660","other","Bacteria","Acidobacteriota","Holophagae","Subgroup_7","Subgroup_7","Subgroup_7","Acidobacteria_bacterium","Zotu660",0.000147223076454355
"Zotu68","Zotu68","other","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales",NA,NA,NA,"Zotu68",0.00294212263567846
"Zotu682","Zotu682","diff","Bacteria","Desulfobacterota","Desulfuromonadia","Geobacterales","Geobacteraceae",NA,NA,"Zotu682",0.000162086039065301
"Zotu6852","Zotu6852","other","Bacteria","Myxococcota","Myxococcia","Myxococcales",NA,NA,NA,"Zotu6852",0.000675995774768855
"Zotu69","Zotu69","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Methylophilaceae","MM2","uncultured_bacterium","Zotu69",0.000980096058361554
"Zotu70","Zotu70","other","Bacteria","Nitrospirota","4-29-1","4-29-1","4-29-1","4-29-1","uncultured_bacterium","Zotu70",0.0032388870617835
"Zotu700","Zotu700","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae",NA,NA,"Zotu700",0.000572828855863595
"Zotu702","Zotu702","other","Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfobulbaceae","uncultured","uncultured_bacterium","Zotu702",0.000107600622942076
"Zotu708","Zotu708","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Gallionellaceae",NA,NA,"Zotu708",0.000252126868646817
