"label","id","labelDiff","Kingdom","Phylum","Class","Order","Family","Genus","Species","name","abun"
"Zotu7167","Zotu7167","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA,"Zotu7167",0.00010460174996771
"Zotu72","Zotu72","other","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium_sensu_stricto_1",NA,"Zotu72",0.00169794056758781
"Zotu720","Zotu720","other","Bacteria","Acidobacteriota","Acidobacteriae","TSBb06","TSBb06","TSBb06","uncultured_bacterium","Zotu720",0.000286177686320941
"Zotu726","Zotu726","other","Bacteria","Acidobacteriota","Holophagae","Holophagales","Holophagaceae",NA,NA,"Zotu726",0.00017813188336809
"Zotu729","Zotu729","other","Bacteria","Proteobacteria","Gammaproteobacteria","Ectothiorhodospirales","Thioalkalispiraceae","Thioalkalispira-Sulfurivermis",NA,"Zotu729",0.000290800183698763
"Zotu730","Zotu730","other","Bacteria","Desulfobacterota","Desulfuromonadia","Geobacterales","Geobacteraceae",NA,NA,"Zotu730",0.000425340379788334
"Zotu735","Zotu735","other","Bacteria","Sva0485","Sva0485","Sva0485","Sva0485","Sva0485",NA,"Zotu735",0.000326659136779412
"Zotu737","Zotu737","other","Bacteria","Actinobacteriota","Acidimicrobiia","uncultured","uncultured","uncultured",NA,"Zotu737",0.000182111993749192
"Zotu739","Zotu739","other","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylocystis","uncultured_bacterium","Zotu739",0.000203778814441259
"Zotu74","Zotu74","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae",NA,NA,"Zotu74",0.00155313682283578
"Zotu740","Zotu740","other","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Spirochaeta","uncultured_Spirochaetes","Zotu740",0.000272570116638899
"Zotu745","Zotu745","other","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales",NA,NA,NA,"Zotu745",0.000244753165212789
"Zotu746","Zotu746","other","Bacteria","Sva0485","Sva0485","Sva0485","Sva0485","Sva0485","uncultured_bacterium","Zotu746",0.0003037772271236
"Zotu747","Zotu747","other","Bacteria","Nitrospirota","Thermodesulfovibrionia","uncultured","uncultured","uncultured","uncultured_bacterium","Zotu747",0.00024198222081431
"Zotu752","Zotu752","other","Bacteria","Sva0485","Sva0485","Sva0485","Sva0485","Sva0485",NA,"Zotu752",0.000365726204387833
"Zotu7563","Zotu7563","other","Bacteria","Desulfobacterota","Syntrophorhabdia","Syntrophorhabdales","Syntrophorhabdaceae","Syntrophorhabdus","uncultured_bacterium","Zotu7563",0.000626263912862896
"Zotu760","Zotu760","other","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylococcaceae","Methylocaldum","uncultured_bacterium","Zotu760",0.000290105657434364
"Zotu766","Zotu766","other","Bacteria","Myxococcota","Polyangia","Haliangiales","Haliangiaceae","Haliangium","uncultured_bacterium","Zotu766",0.000246980499046069
"Zotu767","Zotu767","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","TRA3-20","TRA3-20",NA,"Zotu767",0.000246370677748426
"Zotu77","Zotu77","other","Bacteria","Desulfobacterota","Desulfuromonadia","Geobacterales","Geobacteraceae",NA,NA,"Zotu77",0.00316024836715073
"Zotu770","Zotu770","other","Bacteria",NA,NA,NA,NA,NA,NA,"Zotu770",0.000310940268781098
"Zotu773","Zotu773","other","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Williamwhitmaniaceae","Blvii28_wastewater-sludge_group","uncultured_bacterium","Zotu773",0.000115403759463625
"Zotu774","Zotu774","other","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium_sensu_stricto_1",NA,"Zotu774",0.000221534143794984
"Zotu775","Zotu775","other","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Sporacetigenium","uncultured_bacterium","Zotu775",0.000310755857638577
"Zotu778","Zotu778","other","Bacteria","Nitrospirota","Thermodesulfovibrionia","uncultured","uncultured","uncultured","uncultured_bacterium","Zotu778",0.000262599545506925
"Zotu779","Zotu779","other","Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup_10","uncultured_soil","Zotu779",0.000218684338454832
"Zotu781","Zotu781","other","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Roseomonas",NA,"Zotu781",0.0002896895059173
"Zotu783","Zotu783","other","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidetes_BD2-2","Bacteroidetes_BD2-2","uncultured_prokaryote","Zotu783",0.00015670867268916
"Zotu785","Zotu785","other","Bacteria","Proteobacteria","Alphaproteobacteria","Reyranellales","Reyranellaceae","uncultured","uncultured_soil","Zotu785",0.000241896170266595
"Zotu79","Zotu79","other","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","P3OB-42","uncultured_bacterium","Zotu79",0.000769762554692924
